apid,indiv,dbid,pid,sour,image,extension
"1,1266::493517",1,1266,493517,@S445246761@,,
"1,61172::1856563",1,61172,1856563,@S445246775@,,
"1,60864::306586",1,60864,306586,@S445277596@,8073590_0001,jpg
"1,1778::3824733",1,1778,3824733,@S445255328@,,
"1,1780::3864635",1,1780,3864635,@S445246689@,,
"1,1207::175868097",1,1207,175868097,@S445225117@,31242_100436__0002-00068,jpg
"1,1266::493518",1,1266,493518,@S445246761@,,
"1,1780::5112850",1,1780,5112850,@S445246689@,,
"1,1207::167465654",1,1207,167465654,@S445225117@,40822_2022410001-00081,jpg
"1,4779::8040949",1,4779,8040949,@S445247785@,40761_312031-00682,jpg
"1,6598::12404761",1,6598,12404761,@S445248134@,SSXRG12_781_784-0658,jpg
"1,7572::21858673",1,7572,21858673,@S445248254@,SSXRG11_1050_1054-0588,jpg
"1,9852::37948966",1,9852,37948966,@S445248318@,,
"1,7579::34870385",1,7579,34870385,@S445249441@,ons_d19611az-0613,jpg
"1,7814::4756476",1,7814,4756476,@S445246943@,SRYRG13_630_631-0254,jpg
"1,61596::4299890",1,61596,4299890,@S445250099@,tna_r39_2625_2625a_018,jpg
"1,8913::13408005",1,8913,13408005,@S445247895@,ONS_M19044AZ-0116,jpg
"1,2352::51544370",1,2352,51544370,@S445225173@,rg14_05239_0133_03,jpg
"1,9852::37948964",1,9852,37948964,@S445248318@,,
"1,4779::88040949",1,4779,88040949,@S445247785@,40761_312031-00682,jpg
"1,2352::51544371",1,2352,51544371,@S445225173@,rg14_05239_0133_03,jpg
"1,61596::4299891",1,61596,4299891,@S445250099@,tna_r39_2625_2625a_018,jpg
"1,7814::6306714",1,7814,6306714,@S445246943@,SSXRG13_907_909-0644,jpg
"1,8913::7536767",1,8913,7536767,@S445247895@,ONS_M19044AZ-0064,jpg
"1,61579::71452693",1,61579,71452693,@S445252566@,,
"1,2352::51544374",1,2352,51544374,@S445225173@,rg14_05239_0133_03,jpg
"1,61596::4059122",1,61596,4059122,@S445250099@,tna_r39_2585_2585d_002,jpg
"1,7579::1021475489",1,7579,1021475489,@S445249441@,,
"1,8753::55848779",1,8753,55848779,@S445250172@,ons_m19384az-0592,jpg
"1,8912::10326748",1,8912,10326748,@S445247099@,ONS_B19093AZ-0270,jpg
"1,2352::51544373",1,2352,51544373,@S445225173@,rg14_05239_0133_03,jpg
"1,2352::51544372",1,2352,51544372,@S445225173@,rg14_05239_0133_03,jpg
"1,4779::1058040949",1,4779,1058040949,@S445247785@,40761_312031-00682,jpg
"1,8912::10325893",1,8912,10325893,@S445247099@,ONS_B18483AH-1523,jpg
"1,8913::13408170",1,8913,13408170,@S445247895@,ONS_M18674AZ-0852,jpg
"1,6598::12404756",1,6598,12404756,@S445248134@,SSXRG12_781_784-0658,jpg
"1,7572::21858695",1,7572,21858695,@S445248254@,SSXRG11_1050_1054-0588,jpg
"1,9852::37948967",1,9852,37948967,@S445248318@,,
"1,6598::12404757",1,6598,12404757,@S445248134@,SSXRG12_781_784-0658,jpg
"1,7572::21858619",1,7572,21858619,@S445248254@,SSXRG11_1050_1054-0588,jpg
"1,6598::12404763",1,6598,12404763,@S445248134@,SSXRG12_781_784-0658,jpg
"1,7572::21858732",1,7572,21858732,@S445248254@,SSXRG11_1050_1054-0588,jpg
"1,6598::12404762",1,6598,12404762,@S445248134@,SSXRG12_781_784-0658,jpg
"1,7572::21858708",1,7572,21858708,@S445248254@,SSXRG11_1050_1054-0588,jpg
"1,6598::12404760",1,6598,12404760,@S445248134@,SSXRG12_781_784-0658,jpg
"1,7572::21858771",1,7572,21858771,@S445248254@,SSXRG11_1050_1054-0588,jpg
"1,7572::21858620",1,7572,21858620,@S445248254@,SSXRG11_1050_1054-0588,jpg
"1,6598::12404759",1,6598,12404759,@S445248134@,SSXRG12_781_784-0658,jpg
"1,7572::21858585",1,7572,21858585,@S445248254@,SSXRG11_1050_1054-0588,jpg
"1,6598::12404758",1,6598,12404758,@S445248134@,SSXRG12_781_784-0658,jpg
"1,7572::21858770",1,7572,21858770,@S445248254@,SSXRG11_1050_1054-0588,jpg
"1,6598::12404766",1,6598,12404766,@S445248134@,SSXRG12_781_784-0658,jpg
"1,6598::12404765",1,6598,12404765,@S445248134@,SSXRG12_781_784-0658,jpg
"1,6598::12404764",1,6598,12404764,@S445248134@,SSXRG12_781_784-0658,jpg
